STABILITY ANALYSIS (30 RUNS) FOR GREY WOLF OPTIMIZER (GWO)
=========================================
Best Fitness (MAPE): 40.092401%
Worst Fitness (MAPE): 40.092441%
Mean Fitness (MAPE): 40.092405%
Standard Deviation (MAPE): 0.000008%

=== TABEL PARAMETER STATISTIK (DESIMAL KOMA - WORD INDONESIA) ===
+----------------------+----------------------+----------------------+----------------------+----------------------+
| Parameter Statistik  | Nilai Fitness (MAPE) |    Bobot w1 (MA)     |    Bobot w2 (ES)     |    Bobot w3 (RNN)    |
+----------------------+----------------------+----------------------+----------------------+----------------------+
| Terbaik              |           40,092401% |             0,315732 |             0,000000 |             0,684268 |
| Terburuk             |           40,092441% |                    - |                    - |                    - |
| Rata-rata            |           40,092405% |             0,315733 |             0,000001 |             0,684265 |
| Std. Deviation       |            0,000008% |             0,000020 |             0,000003 |             0,000020 |
+----------------------+----------------------+----------------------+----------------------+----------------------+

=== TABEL PARAMETER STATISTIK (DESIMAL TITIK - LaTeX / WORD ENGLISH) ===
+----------------------+----------------------+----------------------+----------------------+----------------------+
| Parameter Statistik  | Nilai Fitness (MAPE) |    Bobot w1 (MA)     |    Bobot w2 (ES)     |    Bobot w3 (RNN)    |
+----------------------+----------------------+----------------------+----------------------+----------------------+
| Terbaik              |           40.092401% |             0.315732 |             0.000000 |             0.684268 |
| Terburuk             |           40.092441% |                    - |                    - |                    - |
| Rata-rata            |           40.092405% |             0.315733 |             0.000001 |             0.684265 |
| Std. Deviation       |            0.000008% |             0.000020 |             0.000003 |             0.000020 |
+----------------------+----------------------+----------------------+----------------------+----------------------+

Best Run Weights:
  w1 (MA): 0.315732
  w2 (ES): 0.000000
  w3 (RNN): 0.684268

Average Weights Across All Runs:
  w1 (MA): 0.315733 (std: 0.000020)
  w2 (ES): 0.000001 (std: 0.000003)
  w3 (RNN): 0.684265 (std: 0.000020)

Runs Performance Details Table:
| Run | n (wolf) | iteration |    MAPE (%)    |       w1       |       w2       |       w3       |
|-----|----------|-----------|----------------|----------------|----------------|----------------|
|   1 |       20 |       100 |     40.092401% |       0.315733 |       0.000000 |       0.684267 |
|   2 |       20 |       100 |     40.092405% |       0.315699 |       0.000000 |       0.684301 |
|   3 |       20 |       100 |     40.092417% |       0.315730 |       0.000007 |       0.684263 |
|   4 |       20 |       100 |     40.092401% |       0.315733 |       0.000000 |       0.684267 |
|   5 |       20 |       100 |     40.092403% |       0.315762 |       0.000000 |       0.684238 |
|   6 |       20 |       100 |     40.092401% |       0.315737 |       0.000000 |       0.684263 |
|   7 |       20 |       100 |     40.092401% |       0.315739 |       0.000000 |       0.684261 |
|   8 |       20 |       100 |     40.092405% |       0.315747 |       0.000001 |       0.684251 |
|   9 |       20 |       100 |     40.092403% |       0.315761 |       0.000000 |       0.684239 |
|  10 |       20 |       100 |     40.092403% |       0.315758 |       0.000000 |       0.684242 |
|  11 |       20 |       100 |     40.092417% |       0.315771 |       0.000006 |       0.684224 |
|  12 |       20 |       100 |     40.092402% |       0.315748 |       0.000000 |       0.684252 |
|  13 |       20 |       100 |     40.092401% |       0.315734 |       0.000000 |       0.684266 |
|  14 |       20 |       100 |     40.092407% |       0.315746 |       0.000002 |       0.684252 |
|  15 |       20 |       100 |     40.092404% |       0.315710 |       0.000000 |       0.684290 |
|  16 |       20 |       100 |     40.092405% |       0.315700 |       0.000000 |       0.684300 |
|  17 |       20 |       100 |     40.092403% |       0.315764 |       0.000000 |       0.684236 |
|  18 |       20 |       100 |     40.092401% |       0.315727 |       0.000000 |       0.684273 |
|  19 |       20 |       100 |     40.092401% |       0.315730 |       0.000000 |       0.684270 |
|  20 |       20 |       100 |     40.092418% |       0.315713 |       0.000006 |       0.684280 |
|  21 |       20 |       100 |     40.092402% |       0.315720 |       0.000000 |       0.684280 |
|  22 |       20 |       100 |     40.092403% |       0.315715 |       0.000000 |       0.684285 |
|  23 |       20 |       100 |     40.092401% |       0.315733 |       0.000000 |       0.684267 |
|  24 |       20 |       100 |     40.092402% |       0.315723 |       0.000000 |       0.684277 |
|  25 |       20 |       100 |     40.092402% |       0.315722 |       0.000000 |       0.684278 |
|  26 |       20 |       100 |     40.092406% |       0.315692 |       0.000000 |       0.684308 |
|  27 |       20 |       100 |     40.092401% |       0.315732 |       0.000000 |       0.684268 |
|  28 |       20 |       100 |     40.092441% |       0.315719 |       0.000016 |       0.684265 |
|  29 |       20 |       100 |     40.092402% |       0.315746 |       0.000000 |       0.684254 |
|  30 |       20 |       100 |     40.092406% |       0.315752 |       0.000002 |       0.684247 |
