Run,n (wolf),Iterasi,MAPE,MAE,MSE,RMSE,R2
1,20,100,38.570462336952424,142042.38183239757,30485021250.50343,174599.6026642198,0.11549424435769762
2,20,100,38.57046233695243,142042.38183239097,30485021250.50098,174599.60266421278,0.11549424435776878
3,20,100,38.57046233695243,142042.38183239236,30485021250.501488,174599.60266421424,0.11549424435775402
4,20,100,38.57046233695243,142042.3818324011,30485021250.50473,174599.60266422352,0.11549424435765998
5,20,100,38.57046233695243,142042.38183239117,30485021250.501057,174599.60266421302,0.11549424435776656
6,20,100,38.57046233695243,142042.3818323861,30485021250.499187,174599.60266420766,0.11549424435782074
7,20,100,38.57046233695243,142042.38183238896,30485021250.500233,174599.60266421063,0.11549424435779043
8,20,100,38.57046233695243,142042.38183238302,30485021250.49804,174599.60266420437,0.11549424435785405
9,20,100,38.57046233695243,142042.381832398,30485021250.503582,174599.60266422023,0.11549424435769329
10,20,100,38.570462336952424,142042.3818323981,30485021250.503605,174599.6026642203,0.11549424435769262
11,20,100,38.570462336952446,142042.38183237656,30485021250.495655,174599.60266419753,0.11549424435792333
12,20,100,38.57046233695243,142042.381832375,30485021250.495075,174599.60266419587,0.11549424435794009
13,20,100,38.570462336952424,142042.38183239792,30485021250.50355,174599.60266422015,0.11549424435769406
14,20,100,38.57046233695243,142042.38183239117,30485021250.50104,174599.60266421296,0.1154942443577669
15,20,100,38.57046233695243,142042.38183239402,30485021250.50211,174599.602664216,0.11549424435773603
16,20,100,38.57046233695243,142042.38183239402,30485021250.50211,174599.602664216,0.11549424435773603
17,20,100,38.570462336952446,142042.38183234064,30485021250.48238,174599.60266415952,0.11549424435830835
18,20,100,38.57046233695243,142042.38183238608,30485021250.499172,174599.6026642076,0.11549424435782119
19,20,100,38.570462336952446,142042.38183237912,30485021250.496597,174599.60266420024,0.1154942443578959
20,20,100,38.57046233695243,142042.38183239495,30485021250.502457,174599.602664217,0.11549424435772593
21,20,100,38.570462336952424,142042.3818323842,30485021250.49848,174599.60266420562,0.11549424435784128
22,20,100,38.57046233695243,142042.38183239408,30485021250.502132,174599.60266421607,0.11549424435773525
23,20,100,38.57046233695243,142042.38183239417,30485021250.502155,174599.60266421616,0.11549424435773459
24,20,100,38.57046233695243,142042.3818323917,30485021250.50124,174599.60266421354,0.11549424435776123
25,20,100,38.57046233695243,142042.38183237787,30485021250.496128,174599.6026641989,0.11549424435790956
26,20,100,38.570462336952424,142042.38183239763,30485021250.50345,174599.60266421986,0.11549424435769717
27,20,100,38.57046233695243,142042.381832398,30485021250.503582,174599.60266422023,0.11549424435769329
28,20,100,38.57046233695243,142042.38183238267,30485021250.49791,174599.602664204,0.11549424435785793
29,20,100,38.57046233695243,142042.38183240092,30485021250.504654,174599.60266422332,0.1154942443576622
30,20,100,38.570462336952424,142042.38183239746,30485021250.503384,174599.60266421968,0.11549424435769895
