STABILITY ANALYSIS (30 RUNS) FOR PARTICLE SWARM OPTIMIZATION (PSO)
=========================================
Best Fitness (MAPE): 38.570462%
Worst Fitness (MAPE): 38.570462%
Mean Fitness (MAPE): 38.570462%
Standard Deviation (MAPE): 0.000000%

Best Run Weights:
  w1 (MA): 0.639195
  w2 (ES): 0.360805
  w3 (RNN): 0.000000

Average Weights Across All Runs:
  w1 (MA): 0.639195 (std: 0.000000)
  w2 (ES): 0.360805 (std: 0.000000)
  w3 (RNN): 0.000000 (std: 0.000000)

Runs Performance Details Table:
| Run | n (particle) | Iterasi |   MAPE (%)   |     MAE      |      MSE      |     RMSE     |      R2      |
|-----|----------|---------|--------------|--------------|---------------|--------------|--------------|
|   1 |       20 |     100 |     38.5705% |  142042.3818 | 30485021250.5034 |  174599.6027 |       0.1155 |
|   2 |       20 |     100 |     38.5705% |  142042.3818 | 30485021250.5010 |  174599.6027 |       0.1155 |
|   3 |       20 |     100 |     38.5705% |  142042.3818 | 30485021250.5015 |  174599.6027 |       0.1155 |
|   4 |       20 |     100 |     38.5705% |  142042.3818 | 30485021250.5047 |  174599.6027 |       0.1155 |
|   5 |       20 |     100 |     38.5705% |  142042.3818 | 30485021250.5011 |  174599.6027 |       0.1155 |
|   6 |       20 |     100 |     38.5705% |  142042.3818 | 30485021250.4992 |  174599.6027 |       0.1155 |
|   7 |       20 |     100 |     38.5705% |  142042.3818 | 30485021250.5002 |  174599.6027 |       0.1155 |
|   8 |       20 |     100 |     38.5705% |  142042.3818 | 30485021250.4980 |  174599.6027 |       0.1155 |
|   9 |       20 |     100 |     38.5705% |  142042.3818 | 30485021250.5036 |  174599.6027 |       0.1155 |
|  10 |       20 |     100 |     38.5705% |  142042.3818 | 30485021250.5036 |  174599.6027 |       0.1155 |
|  11 |       20 |     100 |     38.5705% |  142042.3818 | 30485021250.4957 |  174599.6027 |       0.1155 |
|  12 |       20 |     100 |     38.5705% |  142042.3818 | 30485021250.4951 |  174599.6027 |       0.1155 |
|  13 |       20 |     100 |     38.5705% |  142042.3818 | 30485021250.5036 |  174599.6027 |       0.1155 |
|  14 |       20 |     100 |     38.5705% |  142042.3818 | 30485021250.5010 |  174599.6027 |       0.1155 |
|  15 |       20 |     100 |     38.5705% |  142042.3818 | 30485021250.5021 |  174599.6027 |       0.1155 |
|  16 |       20 |     100 |     38.5705% |  142042.3818 | 30485021250.5021 |  174599.6027 |       0.1155 |
|  17 |       20 |     100 |     38.5705% |  142042.3818 | 30485021250.4824 |  174599.6027 |       0.1155 |
|  18 |       20 |     100 |     38.5705% |  142042.3818 | 30485021250.4992 |  174599.6027 |       0.1155 |
|  19 |       20 |     100 |     38.5705% |  142042.3818 | 30485021250.4966 |  174599.6027 |       0.1155 |
|  20 |       20 |     100 |     38.5705% |  142042.3818 | 30485021250.5025 |  174599.6027 |       0.1155 |
|  21 |       20 |     100 |     38.5705% |  142042.3818 | 30485021250.4985 |  174599.6027 |       0.1155 |
|  22 |       20 |     100 |     38.5705% |  142042.3818 | 30485021250.5021 |  174599.6027 |       0.1155 |
|  23 |       20 |     100 |     38.5705% |  142042.3818 | 30485021250.5022 |  174599.6027 |       0.1155 |
|  24 |       20 |     100 |     38.5705% |  142042.3818 | 30485021250.5012 |  174599.6027 |       0.1155 |
|  25 |       20 |     100 |     38.5705% |  142042.3818 | 30485021250.4961 |  174599.6027 |       0.1155 |
|  26 |       20 |     100 |     38.5705% |  142042.3818 | 30485021250.5034 |  174599.6027 |       0.1155 |
|  27 |       20 |     100 |     38.5705% |  142042.3818 | 30485021250.5036 |  174599.6027 |       0.1155 |
|  28 |       20 |     100 |     38.5705% |  142042.3818 | 30485021250.4979 |  174599.6027 |       0.1155 |
|  29 |       20 |     100 |     38.5705% |  142042.3818 | 30485021250.5047 |  174599.6027 |       0.1155 |
|  30 |       20 |     100 |     38.5705% |  142042.3818 | 30485021250.5034 |  174599.6027 |       0.1155 |
